house_id,neighborhood,area,bedrooms,bathrooms,style,price
4621,B,2057,4,2,ranch,1026792
1299,C,4272,6,4,victorian,1072315
4819,B,1026,3,2,ranch,518425
453,B,3189,5,3,victorian,1585020
2816,A,2910,5,3,victorian,734387
1431,C,3709,5,3,victorian,932539
6790,B,157,1,0,lodge,89704
6021,A,122,1,0,lodge,42423
1655,C,2367,4,2,ranch,599571
1181,A,1977,4,2,victorian,502851
284,B,1507,3,2,lodge,755558
4409,A,653,0,0,lodge,174027
4296,A,2028,4,2,ranch,515499
2918,B,4599,7,4,victorian,2280386
7432,B,4256,6,4,victorian,2111203
4652,C,1405,3,2,victorian,360911
1153,A,3086,5,3,victorian,778035
3256,C,2503,5,3,victorian,633451
6887,A,2561,4,2,ranch,647683
1439,B,373,0,0,lodge,196108
5391,B,2164,4,2,ranch,1079543
3117,A,2691,5,3,victorian,680075
4709,B,1805,4,2,ranch,902556
1838,A,4149,6,4,victorian,1041811
1844,C,1427,3,2,ranch,366367
201,C,173,1,0,lodge,55071
4163,B,2671,5,3,victorian,1329646
5879,C,1936,4,2,lodge,492683
917,A,1878,4,2,ranch,478299
1954,B,2223,4,2,victorian,1108630
2257,A,3910,6,4,victorian,982539
2187,B,624,0,0,lodge,319851
3794,A,867,2,1,lodge,227335
3790,B,1307,3,2,victorian,656958
4465,A,2996,5,3,ranch,755715
3839,A,1764,4,2,victorian,450027
4852,B,1809,4,2,lodge,904528
4968,B,1806,4,2,victorian,903049
3834,C,3195,5,3,victorian,805067
3951,C,1342,3,2,victorian,345287
6681,C,1634,3,2,lodge,417703
4541,B,805,0,0,lodge,409084
3618,B,3699,5,3,victorian,1836450
2707,A,1285,3,2,ranch,331151
1412,A,1678,4,2,victorian,428699
7285,B,2120,4,2,victorian,1057851
4979,B,4178,6,4,victorian,2072749
7629,B,3333,5,3,victorian,1656012
3629,B,2900,5,3,victorian,1442543
6240,A,1989,4,2,ranch,505827
3888,C,1464,2,1,ranch,375391
5767,A,1024,2,1,ranch,266271
5821,A,1740,4,2,victorian,444075
530,B,250,1,0,lodge,135553
3602,B,3193,6,4,victorian,1587144
4136,C,1847,4,2,ranch,470611
3191,A,2639,5,3,victorian,667179
6482,B,2208,4,2,lodge,1101235
6187,A,1568,4,2,ranch,401419
7465,A,1477,3,2,ranch,378767
5061,B,147,1,0,lodge,84774
7723,A,1028,2,1,lodge,267263
575,A,1134,2,1,ranch,293551
477,A,3041,5,3,victorian,766875
7386,B,231,1,0,lodge,126186
3874,C,3988,6,4,victorian,1001883
510,B,2269,4,2,victorian,1131308
2332,A,3196,6,4,victorian,805467
7915,A,3803,5,3,victorian,955851
1221,A,3626,6,4,victorian,912107
662,C,2158,4,2,ranch,547739
4984,A,2824,5,3,victorian,713059
332,C,3282,5,3,victorian,826643
6868,B,1207,3,2,ranch,607658
1523,C,1846,4,2,victorian,470363
415,C,1238,3,2,victorian,319495
4988,C,3218,5,3,victorian,810771
2802,C,3484,6,4,victorian,876891
471,B,2237,4,2,ranch,1115532
899,C,927,2,1,ranch,242215
3467,B,1131,2,1,lodge,570038
7801,A,2685,5,3,victorian,678587
352,A,1470,3,2,ranch,377031
2186,C,150,1,0,lodge,49367
1533,C,2148,4,2,lodge,545259
3797,B,2885,5,3,victorian,1435148
3114,C,4793,6,4,victorian,1201523
6315,B,1219,3,2,ranch,613574
4980,C,2141,4,2,ranch,543523
750,C,4165,6,4,victorian,1045779
533,B,1302,3,2,ranch,654493
7527,B,1236,2,1,ranch,621803
1188,B,389,1,0,lodge,204080
5371,A,1076,3,2,ranch,279319
6125,A,317,0,0,lodge,90699
5211,B,3507,5,3,victorian,1741794
7396,C,3188,5,3,victorian,803331
715,B,1041,2,1,lodge,525668
6484,C,4867,6,4,victorian,1219875
554,C,1392,2,1,lodge,357535
2287,B,1328,3,2,ranch,667311
5664,B,982,3,2,ranch,496733
1979,B,2825,6,4,victorian,1405720
2429,B,2879,5,3,victorian,1432190
4995,C,136,1,0,lodge,45895
2141,C,1381,4,2,victorian,355043
7929,B,1908,4,2,victorian,953335
315,C,1051,3,2,ranch,273119
2504,A,1954,4,2,lodge,497147
2797,B,68,1,0,lodge,45827
5951,A,1416,3,2,ranch,363639
3898,A,3643,5,3,victorian,916171
3285,A,3659,5,3,victorian,920139
6078,A,2819,6,4,victorian,711971
5780,A,3054,5,3,victorian,770099
6318,A,4018,6,4,victorian,1009323
4090,B,1862,4,2,victorian,930657
7946,C,4535,6,4,victorian,1137539
6628,A,182,1,0,lodge,57303
4055,A,833,2,1,ranch,218903
563,A,1356,2,1,lodge,348607
990,B,26,1,0,lodge,25121
7887,B,1049,3,2,ranch,529764
3980,B,1466,3,2,victorian,735345
3540,B,1860,4,2,victorian,929671
4467,A,3019,6,4,victorian,761571
7681,C,3507,5,3,victorian,882443
1876,A,2020,4,2,ranch,513515
6596,A,1731,3,2,ranch,441759
3911,A,2192,4,2,victorian,556171
291,B,144,1,0,lodge,83295
272,C,3860,5,3,victorian,969987
3614,A,4175,6,4,victorian,1048259
3913,C,1390,2,1,lodge,357039
3250,A,2289,4,2,ranch,580227
1992,C,962,3,2,ranch,251047
4785,B,1279,3,2,ranch,643154
4233,B,1145,3,2,ranch,577092
1331,B,2059,4,2,victorian,1027778
5624,B,1585,4,2,victorian,794096
4368,A,1679,3,2,ranch,428863
7331,B,1258,3,2,victorian,632801
2620,C,3407,5,3,victorian,857643
5303,B,1605,3,2,ranch,803872
6231,A,1132,3,2,ranch,293207
5162,B,1400,3,2,ranch,702807
4200,C,5848,6,4,victorian,1463163
6775,C,1849,4,2,ranch,471107
3225,B,2600,4,2,ranch,1294491
4395,B,1433,4,2,victorian,719160
4127,C,1484,3,2,ranch,380503
6778,C,1305,3,2,ranch,336111
6175,B,4000,6,4,victorian,1984995
4902,C,1307,2,1,lodge,336455
7550,B,1369,3,2,ranch,687524
4184,C,1300,2,1,ranch,334719
3174,A,2359,6,4,victorian,597891
4207,A,1043,2,1,ranch,270983
3321,C,1038,3,2,ranch,269895
2633,B,2785,5,3,victorian,1385848
6994,B,1322,3,2,victorian,664353
3694,A,3958,5,3,victorian,994291
5799,B,1259,2,1,ranch,633142
3096,B,1138,3,2,ranch,573641
6587,C,2373,6,4,victorian,601363
868,C,557,0,0,lodge,150219
5622,A,2051,4,2,victorian,521203
2162,B,3019,5,3,victorian,1501210
7902,A,1243,0,0,lodge,320347
1779,C,1148,3,2,lodge,297175
7369,B,1059,2,1,lodge,534542
7021,A,2080,4,2,ranch,528395
1684,B,2243,4,2,victorian,1118490
6871,B,4315,6,4,victorian,2140290
6521,A,3962,7,4,victorian,995519
5943,A,4208,6,4,victorian,1056443
209,A,1035,2,1,ranch,268999
696,B,1408,2,1,lodge,706599
7812,A,1451,3,2,ranch,372319
7060,A,1077,3,2,ranch,279567
6033,B,2772,5,3,victorian,1379439
7738,A,1451,3,2,ranch,372319
6713,B,3882,6,4,victorian,1926821
6796,B,1557,3,2,ranch,780208
7068,B,1268,3,2,victorian,637731
2421,A,1295,2,1,ranch,333479
4020,A,3288,5,3,victorian,828131
2534,A,3254,5,3,victorian,819699
6452,C,1299,3,2,victorian,334623
1847,C,2070,4,2,ranch,525915
2613,C,1414,4,2,ranch,363227
6898,B,2999,5,3,victorian,1491350
1018,B,1278,3,2,ranch,642661
5016,A,4136,6,4,victorian,1038587
4543,C,2277,4,2,victorian,577251
4162,A,4137,6,4,victorian,1038835
1821,B,4365,6,4,victorian,2164940
442,B,932,0,0,lodge,471695
7907,B,118,1,0,lodge,70477
4298,B,1695,4,2,ranch,848326
7025,A,1057,3,2,ranch,274607
6592,A,1009,2,1,ranch,262551
4885,C,1118,2,1,lodge,289583
7528,A,1562,3,2,ranch,399847
3343,A,1568,4,2,victorian,401419
1175,B,1088,3,2,victorian,548991
634,A,1345,2,1,lodge,345879
3635,C,1695,3,2,lodge,432831
7264,A,1421,3,2,lodge,364879
6978,A,52,1,0,lodge,25063
3346,C,4645,6,4,victorian,1164819
4641,C,5267,6,4,victorian,1319075
1513,A,683,0,0,lodge,181467
7836,C,3416,5,3,victorian,859875
4116,A,4191,6,4,victorian,1052227
7318,C,1877,4,2,lodge,478051
4573,C,4238,6,4,victorian,1063883
5550,B,811,0,0,lodge,412042
6407,B,1297,3,2,ranch,652028
6136,B,1340,3,2,victorian,673227
5304,A,1878,4,2,victorian,478299
2351,B,2800,7,4,victorian,1393479
2219,A,1199,3,2,ranch,309823
5475,C,4232,5,3,victorian,1062243
6006,B,344,1,0,lodge,181895
5440,A,1566,3,2,ranch,400839
1549,B,4010,6,4,victorian,1989925
5472,B,2363,4,2,victorian,1177650
2368,B,3316,5,3,victorian,1647631
5851,B,3098,5,3,victorian,1540157
355,B,219,1,0,lodge,120270
3503,B,3368,6,4,victorian,1673419
7278,A,1254,2,1,lodge,323311
3575,A,877,0,0,lodge,229579
7628,C,2612,4,2,ranch,660331
7821,A,1553,2,1,lodge,397463
2018,C,1646,4,2,victorian,420763
1499,C,1506,3,2,ranch,385959
6166,B,2834,5,3,victorian,1410005
5909,C,294,1,0,lodge,85079
404,C,1445,3,2,victorian,370831
4118,A,2847,6,4,victorian,718915
2815,B,2193,4,2,ranch,1093840
1249,B,1214,2,1,ranch,610957
5237,C,6480,8,5,victorian,1620135
7216,B,3447,6,4,victorian,1712366
6299,B,952,3,2,ranch,481943
5052,C,1910,4,2,ranch,486235
2522,B,230,1,0,lodge,125693
1227,B,3293,5,3,victorian,1636292
1455,A,1225,3,2,lodge,316271
555,B,2068,4,2,victorian,1032215
378,B,1460,3,2,ranch,732387
3163,C,2254,4,2,ranch,571547
4799,C,2339,4,2,victorian,592627
4695,C,1714,4,2,ranch,437627
6991,B,1416,2,1,ranch,710543
6437,A,1797,4,2,ranch,458211
266,A,527,0,0,lodge,142779
7928,B,925,2,1,ranch,468480
5127,C,1431,3,2,ranch,367359
2859,B,1133,3,2,ranch,571176
4837,B,958,2,1,lodge,484749
1837,A,64,1,0,lodge,28039
1336,A,3438,5,3,victorian,865331
1709,B,1495,3,2,ranch,749642
2206,A,2831,5,3,victorian,714795
980,A,6424,8,5,victorian,1606247
5825,C,3074,5,3,victorian,775059
2559,B,3250,5,3,victorian,1615093
5193,A,1140,3,2,ranch,295191
5044,A,1510,2,1,lodge,386799
2045,C,3359,5,3,victorian,845739
5631,A,3514,5,3,victorian,884179
498,C,2403,4,2,victorian,608499
1572,C,1291,2,1,ranch,332487
3977,A,1230,2,1,ranch,317359
5498,A,2830,6,4,victorian,714699
3079,A,2035,4,2,victorian,517235
1637,C,1722,4,2,ranch,439611
3397,C,1161,2,1,lodge,300247
5365,C,4186,6,4,victorian,1050987
7061,B,3626,6,4,victorian,1800613
6296,C,3695,5,3,victorian,929067
4921,C,4713,6,4,victorian,1181683
7743,B,476,1,0,lodge,246971
7233,B,1298,3,2,ranch,652521
3739,A,1003,2,1,ranch,261063
3354,B,1289,3,2,victorian,648084
2881,C,4139,6,4,victorian,1039331
3530,A,1222,2,1,ranch,315375
5900,C,3759,6,4,victorian,945091
3273,B,2069,4,2,victorian,1032708
2409,C,2895,5,3,victorian,730667
4339,B,1248,2,1,lodge,627719
2546,A,3464,5,3,victorian,871779
3932,B,86,1,0,lodge,54701
7258,B,1346,2,1,lodge,676033
2005,B,3735,6,4,victorian,1854350
7764,C,3566,5,3,victorian,897075
5099,B,1269,3,2,ranch,638224
7288,C,982,2,1,lodge,255855
6832,A,3115,5,3,victorian,785227
3664,B,1222,2,1,lodge,614901
7830,A,2157,4,2,victorian,547491
4855,B,947,3,2,ranch,479478
7544,B,3309,5,3,victorian,1644180
7406,A,1527,4,2,ranch,391251
4967,A,1783,4,2,victorian,454739
5965,B,1078,3,2,ranch,544061
5075,C,3458,5,3,victorian,870291
6284,B,3583,5,3,victorian,1779262
2946,B,3561,5,3,victorian,1768416
618,B,1516,3,2,ranch,759995
831,B,1319,2,1,lodge,662722
5809,B,1171,2,1,ranch,589758
4356,A,8,1,0,lodge,14151
735,B,425,1,0,lodge,221828
2388,C,3429,6,4,victorian,863251
4355,C,136,1,0,lodge,45895
3870,C,2106,4,2,ranch,534843
4668,B,1186,3,2,ranch,597305
1590,B,945,2,1,lodge,478340
1800,C,619,0,0,lodge,165595
3004,A,1069,3,2,victorian,277583
5721,C,1099,3,2,lodge,285023
7079,A,999,2,1,lodge,260071
3944,C,1020,3,2,victorian,265431
4264,A,1677,3,2,lodge,428367
2571,A,3930,6,4,victorian,987499
7213,A,3503,5,3,victorian,881451
1435,B,1487,4,2,victorian,745782
4737,C,2460,6,4,victorian,622939
3434,C,29,1,0,lodge,19359
6406,A,2022,4,2,victorian,514011
7951,C,1340,3,2,ranch,344791
2780,C,3255,5,3,victorian,819947
607,B,1381,3,2,ranch,693440
6413,C,1405,3,2,ranch,360911
7114,B,2902,6,4,victorian,1443681
2040,A,3935,6,4,victorian,988739
7366,A,3179,5,3,victorian,801099
346,B,1341,3,2,ranch,673720
360,A,1986,4,2,victorian,505083
1706,B,3227,5,3,victorian,1603754
984,B,1263,2,1,lodge,635114
4736,A,504,1,0,lodge,137159
5281,B,977,2,1,lodge,494116
7943,A,1149,3,2,victorian,297423
1921,A,125,1,0,lodge,43167
5462,A,1474,3,2,ranch,378023
4019,B,1368,3,2,ranch,687031
1121,B,2515,5,3,victorian,1252738
4012,B,1705,4,2,victorian,853256
5267,A,460,1,0,lodge,126247
5581,A,2791,5,3,victorian,704875
1720,B,3671,5,3,victorian,1822646
478,B,1097,3,2,ranch,553428
2212,C,3126,5,3,victorian,787955
4810,A,1177,2,1,lodge,304215
6691,B,2787,5,3,ranch,1386834
4443,A,1238,2,1,ranch,319343
3960,B,3422,5,3,victorian,1699889
4034,C,194,1,0,lodge,60279
218,A,1083,2,1,lodge,280903
7059,C,4512,7,4,victorian,1131919
2808,A,854,2,1,lodge,224111
2724,A,1513,3,2,ranch,387695
1466,B,784,0,0,lodge,398731
5682,C,1082,3,2,ranch,280807
2345,A,3229,5,3,victorian,813499
3057,C,3278,5,3,victorian,825651
2236,B,95,1,0,lodge,59138
1996,A,1031,2,1,ranch,268007
1789,B,1148,3,2,victorian,578571
4100,B,1415,3,2,ranch,710202
3037,A,3397,5,3,victorian,855163
1384,B,2027,4,2,victorian,1012002
5148,B,1926,4,2,victorian,962209
1364,C,5031,7,4,victorian,1260631
7253,B,282,1,0,lodge,151329
1244,B,1713,4,2,victorian,857200
4629,C,1061,3,2,ranch,275599
1804,B,4078,5,3,victorian,2023297
1256,C,3599,5,3,victorian,905259
3485,B,1326,2,1,ranch,666173
1721,B,4053,6,4,victorian,2011124
7529,C,1177,3,2,ranch,304367
7592,B,252,1,0,lodge,136539
3978,C,4018,6,4,victorian,1009323
1224,B,1565,3,2,ranch,784152
724,C,1347,3,2,ranch,346527
6708,C,2106,4,2,victorian,534843
4503,A,2132,4,2,victorian,541291
5845,C,2253,4,2,victorian,571299
5255,B,1445,4,2,victorian,725076
413,A,1199,2,1,ranch,309671
1220,B,1751,4,2,ranch,875934
3686,A,3452,6,4,victorian,868955
693,B,2878,5,3,victorian,1431697
6512,B,3303,5,3,victorian,1641222
2937,B,2030,4,2,ranch,1013481
2986,B,1825,4,2,victorian,912416
6851,B,2941,5,3,victorian,1462756
4751,C,772,2,1,lodge,203775
1515,C,2135,4,2,victorian,542035
6059,A,2018,4,2,victorian,513019
321,C,1720,4,2,ranch,439115
238,A,1707,4,2,ranch,435891
6151,A,4893,6,4,victorian,1226323
2905,C,3294,5,3,victorian,829619
588,C,2132,4,2,victorian,541291
7809,A,1804,4,2,victorian,459947
7551,A,3272,5,3,victorian,824163
1600,C,2559,4,2,victorian,647187
4030,B,2048,4,2,victorian,1022355
7157,A,146,1,0,lodge,48375
4350,C,2895,6,4,victorian,730819
5859,A,2701,5,3,victorian,682555
1862,B,1755,4,2,lodge,877906
3392,B,966,3,2,ranch,488845
7481,B,1457,3,2,ranch,730908
5847,B,1769,4,2,ranch,884808
1624,C,1169,3,2,ranch,302383
6157,C,2069,6,4,victorian,525971
6012,B,1297,3,2,ranch,652028
2766,B,3509,5,3,victorian,1742780
3456,B,2095,4,2,victorian,1045526
6985,B,5085,7,4,victorian,2519984
7800,B,1035,2,1,lodge,522710
286,B,1830,4,2,ranch,914881
4194,B,3039,5,3,victorian,1511070
4426,A,871,2,1,ranch,228327
2338,B,4586,7,4,victorian,2273977
7155,B,902,2,1,lodge,457141
2304,A,1167,2,1,lodge,301735
1216,C,2838,6,4,victorian,716683
3756,B,1190,3,2,ranch,599277
665,B,970,2,1,ranch,490665
7718,B,958,3,2,ranch,484901
6327,C,3263,5,3,ranch,821931
5077,C,1163,3,2,ranch,300895
5382,B,1084,3,2,ranch,547019
335,A,112,1,0,lodge,39943
3659,B,1858,4,2,victorian,928685
383,B,2556,5,3,victorian,1272951
5495,B,3418,6,4,victorian,1698069
4297,B,2156,4,2,victorian,1075599
7661,C,1421,2,1,lodge,364727
3677,A,1409,2,1,lodge,361751
1334,C,926,2,1,lodge,241967
7382,B,937,2,1,lodge,474396
377,B,2100,4,2,ranch,1047991
2467,B,2586,6,4,victorian,1287893
3539,C,2631,5,3,victorian,665195
6702,C,4024,6,4,victorian,1010811
7163,B,1093,3,2,lodge,551456
4535,C,1274,2,1,ranch,328271
1038,A,3388,5,3,ranch,852931
6103,B,1015,2,1,lodge,512850
1312,C,1758,4,2,victorian,448539
1467,B,1311,2,1,lodge,658778
3030,A,1163,3,2,ranch,300895
3559,B,900,0,0,lodge,455919
5778,C,457,1,0,lodge,125503
2973,C,6343,8,5,victorian,1586159
2841,B,969,2,1,lodge,490172
3718,C,1253,3,2,victorian,323215
4625,B,3936,5,3,victorian,1953291
6755,C,1395,3,2,ranch,358431
6671,C,3613,5,3,victorian,908731
5132,B,993,3,2,lodge,502156
6260,C,707,0,0,lodge,187419
6381,C,1395,2,1,ranch,358279
3118,C,1918,4,2,ranch,488219
6386,C,1421,2,1,ranch,364727
4109,B,3655,6,4,victorian,1814910
1383,A,572,0,0,lodge,153939
7911,B,1931,4,2,ranch,964674
7275,A,3141,5,3,victorian,791675
2603,C,3901,5,3,victorian,980155
4707,C,2114,4,2,ranch,536827
694,A,4079,6,4,victorian,1024451
1198,A,1575,4,2,victorian,403155
708,C,2069,4,2,ranch,525667
635,A,4228,7,4,victorian,1061487
3466,B,2034,4,2,ranch,1015453
4786,A,4695,7,4,victorian,1177303
1811,A,1552,4,2,ranch,397451
5808,A,3222,5,3,victorian,811763
3424,A,3519,5,3,victorian,885419
6052,C,1771,4,2,ranch,451763
1574,B,1099,3,2,ranch,554414
2548,C,3898,6,4,victorian,979563
6926,B,1186,3,2,victorian,597305
1942,C,1385,3,2,ranch,355951
837,B,3283,5,3,victorian,1631362
2129,B,68,1,0,lodge,45827
4138,A,1569,3,2,ranch,401583
3490,B,1606,3,2,lodge,804365
2535,C,3720,5,3,victorian,935267
5203,C,339,1,0,lodge,96239
2130,A,3555,6,4,victorian,894499
3991,A,1490,3,2,ranch,381991
3042,B,1088,3,2,victorian,548991
7165,B,1088,3,2,lodge,548991
5787,C,1255,2,1,victorian,323559
1207,A,1080,2,1,lodge,280159
4900,C,2062,4,2,victorian,523931
7644,C,1430,2,1,ranch,366959
1487,A,3287,5,3,victorian,827883
4778,B,2911,5,3,victorian,1447966
768,B,2010,4,2,ranch,1003621
2369,A,1094,3,2,victorian,283783
6037,B,3361,6,4,victorian,1669968
1124,C,41,1,0,lodge,22335
1343,B,3187,5,3,ranch,1584034
1193,B,1629,4,2,victorian,815788
2738,B,2317,4,2,victorian,1154972
1730,B,4068,6,4,victorian,2018519
4411,A,5423,7,4,victorian,1357847
4587,B,3845,5,3,victorian,1908428
5024,B,3294,6,4,victorian,1636937
1988,B,2237,4,2,ranch,1115532
7248,A,2033,4,2,victorian,516739
3818,B,4,1,0,lodge,14275
4694,A,1330,2,1,lodge,342159
3904,C,3309,5,3,victorian,833339
1652,C,370,1,0,lodge,103927
3280,A,1710,4,2,ranch,436635
282,C,1108,3,2,victorian,287255
3019,B,4723,6,4,victorian,2341434
2015,B,3618,5,3,victorian,1796517
5455,B,3207,5,3,victorian,1593894
3549,B,3094,5,3,victorian,1538185
3370,B,28,1,0,lodge,26107
4742,A,356,1,0,lodge,100455
6184,C,5521,8,5,victorian,1382303
5814,A,1133,2,1,ranch,293303
6197,B,3469,5,3,victorian,1723060
3897,A,936,2,1,lodge,244447
5435,C,3766,6,4,victorian,946827
3491,C,930,2,1,ranch,242959
7169,C,3153,6,4,victorian,794803
3955,C,1860,4,2,ranch,473835
5122,A,3018,5,3,victorian,761171
2880,B,2124,4,2,ranch,1059823
2151,B,4085,6,4,victorian,2026900
2465,B,1246,3,2,ranch,626885
3104,B,890,0,0,lodge,450989
5060,B,2064,4,2,ranch,1030243
3683,B,3891,6,4,victorian,1931258
3143,C,1396,3,2,ranch,358679
4933,B,3577,5,3,victorian,1776304
7196,B,360,1,0,lodge,189783
3611,B,1670,4,2,victorian,836001
3367,B,2940,6,4,victorian,1462415
6417,B,3425,5,3,victorian,1701368
6359,B,1060,3,2,victorian,535187
1998,C,1324,2,1,ranch,340671
3169,A,2812,5,3,victorian,710083
3436,B,1350,2,1,ranch,678005
3553,A,3113,5,3,victorian,784731
5904,B,2030,4,2,lodge,1013481
7872,B,4677,6,4,victorian,2318756
7370,B,4146,5,3,ranch,2056821
6800,A,1178,2,1,lodge,304463
7302,A,3467,6,4,victorian,872675
3521,B,2249,4,2,victorian,1121448
6533,B,4408,8,5,victorian,2186375
2470,C,1343,2,1,lodge,345383
3917,A,829,0,0,lodge,217675
5872,C,1450,2,1,ranch,371919
4220,B,20,1,0,lodge,22163
7586,A,2198,4,2,victorian,557659
7711,A,4012,6,4,victorian,1007835
2966,B,1193,2,1,ranch,600604
1417,B,1674,4,2,victorian,837973
1918,B,5573,8,5,victorian,2760720
6220,B,1492,3,2,ranch,748163
5072,B,3899,5,3,victorian,1935050
1201,C,3413,5,3,victorian,859131
6622,A,1949,4,2,victorian,495907
4999,C,992,3,2,victorian,258487
235,B,1281,2,1,ranch,643988
1217,B,1193,2,1,lodge,600604
7306,C,5276,7,4,victorian,1321391
4354,B,3424,5,3,victorian,1700875
2901,B,3401,6,4,victorian,1689688
336,A,1099,3,2,lodge,285023
3041,B,4617,6,4,victorian,2289176
3060,C,2151,4,2,victorian,546003
4412,B,1314,4,2,ranch,660493
4122,A,2618,5,3,victorian,661971
3029,B,3750,5,3,victorian,1861593
5697,B,1550,3,2,victorian,776757
3048,A,2737,4,2,victorian,691331
1144,B,3529,5,3,victorian,1752640
7214,A,736,0,0,lodge,194611
500,C,2317,5,3,victorian,587323
7226,C,3678,5,3,ranch,924851
1890,B,2132,4,2,victorian,1063767
6731,B,2297,4,2,victorian,1145112
3847,C,1378,2,1,lodge,354063
1627,C,1446,2,1,lodge,370927
7974,B,1782,4,2,victorian,891217
6856,B,2761,7,4,victorian,1374252
1573,C,11,1,0,lodge,14895
5486,A,1199,3,2,victorian,309823
636,B,1738,4,2,ranch,869525
1185,A,1492,2,1,lodge,382335
6464,B,1528,3,2,ranch,765911
2983,A,3937,6,4,victorian,989235
1211,C,4039,5,3,victorian,1014379
2033,A,2368,4,2,victorian,599819
803,B,92,1,0,lodge,57659
2820,A,159,1,0,lodge,51599
2275,C,2747,5,3,victorian,693963
305,B,1096,2,1,ranch,552783
3700,B,1924,4,2,victorian,961223
2299,C,2259,4,2,victorian,572787
7441,A,1147,3,2,ranch,296927
2990,C,783,0,0,lodge,206267
5817,B,3081,5,3,victorian,1531776
6818,B,1315,3,2,ranch,660902
3368,B,5951,8,5,victorian,2947074
5474,A,2290,4,2,ranch,580475
5209,C,2149,4,2,ranch,545507
5264,B,1245,3,2,lodge,626392
7130,A,3131,5,3,victorian,789195
7159,B,1442,3,2,ranch,723513
5423,B,4425,7,4,victorian,2194604
2083,A,1309,4,2,ranch,337187
1486,A,134,1,0,lodge,45399
6855,B,1024,2,1,ranch,517287
3440,C,1264,3,2,ranch,325943
806,B,930,0,0,lodge,470709
4113,B,1194,2,1,ranch,601097
2712,C,1219,2,1,lodge,314631
7851,B,1564,4,2,ranch,783743
1137,B,1671,2,1,ranch,836258
3820,B,1562,4,2,ranch,782757
7916,C,1029,0,0,lodge,267275
2024,C,1699,4,2,ranch,433907
6610,B,2091,4,2,victorian,1043554
3001,B,853,2,1,lodge,432984
2458,B,1328,3,2,victorian,667311
1749,B,2522,4,2,victorian,1256037
1827,A,687,1,0,lodge,182543
6039,C,916,2,1,lodge,239487
3680,C,3515,5,3,victorian,884427
5614,C,1956,6,4,victorian,497947
1143,A,1217,3,2,ranch,314287
6665,B,2197,4,2,ranch,1095812
3284,B,3682,5,3,victorian,1828069
4193,A,2728,5,3,victorian,689251
6149,B,3146,5,3,victorian,1563821
7893,B,1854,4,2,victorian,926713
5451,B,3019,5,3,victorian,1501210
2294,B,2884,5,3,victorian,1434655
1596,A,2643,4,2,ranch,668019
4273,B,2000,4,2,ranch,998691
1807,A,1092,3,2,ranch,283287
6598,B,3310,5,3,victorian,1644673
5583,C,1394,2,1,lodge,358031
5047,B,4007,5,3,ranch,1988294
6582,C,1090,3,2,victorian,282791
2329,B,1374,3,2,ranch,689989
6900,A,1740,4,2,ranch,444075
5071,A,1398,3,2,ranch,359175
7231,A,997,0,0,lodge,259339
4413,C,83,1,0,lodge,32751
4803,A,1156,3,2,lodge,299159
4252,A,2158,4,2,victorian,547739
2317,C,3272,5,3,victorian,824163
